id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,tinh_trang_hieu_luc,year_of_issue
18112,Về việc thành lập Trường Đại học Văn hoá thành phố Hồ Chí Minh,154/2005/QĐ-TTg,2005-06-23,Quyết định,18/07/2005,,Công báo số 03 & 04 - 07/2005;,03/07/2005,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2005
21139,Về việc giao nhiệm vụ đào tạo thạc sĩ cho Đại học Mở bán công thành phố Hồ Chí Minh,204/2003/QĐ-TTg,2003-10-01,Quyết định,18/10/2003,,Công báo số 162,03/10/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
18598,Về việc thành lập Trường Đại học Công nghiệpthành phố Hồ Chí Minh,214/2004/QĐ-TTg,2004-12-24,Quyết định,14/01/2005,,Công báo số 29 - 12/2004;,30/12/2004,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2004
21572,Về việc thành lập Trường Đại học Sư phạm Thể dục Thể thao Hà Tây,83/2003/QĐ-TTg,2003-05-05,Quyết định,09/06/2003,,Công báo số 43,25/05/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21535,Về việc thành lập Trường Đại học Hùng  Vương,81/2003/QĐ-TTg,2003-04-29,Quyết định,07/06/2003,,Công báo số 42,23/05/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
19631,Về việc thành lập Trường Đại học Công nghệ trực thuộc Đại học Quốc gia Hà Nội,92/2004/QĐ-TTg,2004-05-25,Quyết định,22/06/2004,,"Công báo số 18, năm 2004",07/06/2004,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2004
21709,Về việc thành lập Trường Đại học Sư phạm Đồng Tháp,08/2003/QĐ-TTg,2003-01-10,Quyết định,25/01/2003,,Số 9,15/02/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
20580,Về việc thành lập Trường Đại học dân lập Lương Thế Vinh,259/2003/QĐ-TTg,2003-12-05,Quyết định,20/12/2003,,"Công báo số 08, 2003;",11/12/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21236,Việc thành lập Trường Đại học Ngân hàng thành phố Hồ Chí Minh,174/2003/QĐ-TTg,2003-08-20,Quyết định,16/09/2003,,"Công báosố 140, năm 2003",01/09/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
17148,Về việc giao nhiệm vụ đào tạo tiến sĩ cho Trường Đại học Y Thái Bình,282/2005/QĐ-TTg,2005-11-07,Quyết định,03/12/2005,,Công báo số 19 & 20 - 11/2005;,18/11/2005,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2005
17145,Về việc thành lập Trường Đại học Sư phạm Thể dục Thể thao thành phố Hồ Chí Minh,285/2005/QĐ-TTg,2005-11-08,Quyết định,03/12/2005,,Công báo số 19 & 20 - 11/2005;,18/11/2005,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2005
21500,Về việc thành lập Trường Đại học An ninh nhân dân,154/2003/QĐ-TTg,2003-07-30,Quyết định,28/08/2003,,Công báo số 129,13/08/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21492,Về việc thành lập Trường Đại học Cảnh sát nhân dân,152/2003/QĐ-TTg,2003-07-28,Quyết định,21/08/2003,,Công báo số 115,06/08/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21481,Về việc giao nhiệm vụ đào tạo trình độ thạc sĩ cho Trường Đại học Răng - Hàm - Mặt,144/2003/QĐ-TTg,2003-07-14,Quyết định,10/08/2003,,Công báo số 106,26/07/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21473,Về việc thành lập Trường Đại học dân lập Phú Xuân,140/2003/QĐ-TTg,2003-07-11,Quyết định,10/08/2003,,Công báo số 106,26/07/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
21417,Về việc ban hành Điều lệ trường đại học,153/2003/QĐ-TTg,2003-07-30,Quyết định,28/08/2003,...,Công báo số 129,13/08/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Phan Văn Khải,Toàn quốc,Còn hiệu lực,2003
22005,Về Việc giao nhiệm vụ đào tạo trình độ thạc sĩ cho Trường Đại học Giao thông vận tải thành phố Hồ Chí Minh.,149/2002/QĐ-TTg,2002-11-06,Quyết định,21/11/2002,,Công báo số 60/2002;,30/11/2002,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2002
24192,"Về việc sửa đổi, bổ sung điểm 2, 4 và 5 Mục I của Tiêu chuẩn bộ mẫu thiết bị dạy học tối thiểu môn học giáo dục quốc phòng cho các trường Trung học phổ thông, Trung học chuyên nghiệp, Đại học và Cao đẳng ban hành kèm theo Quyết định số 10/2005/QĐ-BGD&ĐT ngày 01 tháng 4 năm 2005 của Bộ trưởng Bộ Giáo dục và Đào tạo và đã được bổ sung tại Quyết định số 09/2007/QĐ-BGDĐT ngày 10 tháng 4 năm 2007 của Bộ trưởng Bộ Giáo dục và Đào tạo",28/2008/QĐ-BGDĐT,2008-06-03,Quyết định,01/07/2008,,"Công báo số 349+350, năm 2008",16/06/2008,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng thường trực,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2008
26049,"Ban hành Quy định về việc đánh giá công tác học sinh, sinh viên của các trường đại học, cao đẳng và trung cấp chuyên nghiệp",39/2010/TT-BGDĐT,2010-12-23,Thông tư,08/02/2011,,"Công báo số 31+32, năm 2011",10/01/2011,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Quang Quý,Toàn quốc,Còn hiệu lực,2010
