id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,tinh_trang_hieu_luc,year_of_issue
128472,"Ban hành Đề cương chi tiết học phần Lịch sử Đảng Cộng sản Việt Nam trình độ đại học dùng trong các đại học, học viện và các trường đại học",41/2003/QĐ-BGDĐT,2003-08-27,Quyết định,11/09/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Văn Nhung,Toàn quốc,Còn hiệu lực,2003
128414,Ban hành mẫu bằng tiến sĩ danh dự,20/2011/TT-BGDĐT,2011-05-24,Thông tư,10/07/2011,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2011
128470,"Ban hành đề cương môn học Tư tưởng Hồ Chí Minh trình độ đại học, cao đẳng",35/2003/QĐ-BGDĐT,2003-07-31,Quyết định,15/08/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Văn Nhung,Toàn quốc,Còn hiệu lực,2003
128468,Ban hành đề cương môn học Chủ nghĩa xã hội khoa học trình độ đại học,34/2003/QĐ-BGDĐT,2003-07-31,Quyết định,15/08/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Văn Nhung,Toàn quốc,Còn hiệu lực,2003
128471,"Ban hành Quy chế thực hành, thực tập sư phạm áp dụng cho các trường đại học, cao đẳng đào tạo giáo viên phổ thông, mầm non trình độ cao đẳng hệ chính quy",36/2003/QĐ-BGDĐT,2003-08-01,Quyết định,16/08/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Đặng Huỳnh Mai,Toàn quốc,Còn hiệu lực,2003
131045,"hướng dẫn công tác thi đua, khen thưởng ngành Giáo dục",22/2018/TT-BGDĐT,2018-08-28,Thông tư,14/10/2018,,,...,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Thứ trưởng,Nguyễn Thị Nghĩa,Toàn quốc,Còn hiệu lực,2018
136024,"Thông tư ban hành Danh mục giáo dục, đào tạo cấp IV trình độ cao đẳng, đại học",15/VBHN-BGDĐT,2014-05-08,Văn bản hợp nhất,20/09/2013,,,24/05/2014,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bùi Văn Ga,Toàn quốc,Còn hiệu lực,2014
137459,"Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học",34/2018/QH14,2018-11-19,Luật,01/07/2019,,,22/12/2018,Giáo dục và đào tạo,Giáo dục đại học,Quốc hội,Chủ tịch Quốc hội,Nguyễn Thị Kim Ngân,Toàn quốc,Còn hiệu lực,2018
138275,"Sửa đổi, bổ sung một số Điều của Quy chế tuyển sinh đại học hệ chính quy; tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy ban hành kèm theo Thông tư số 05/2017/TT-BGDĐT ngày 25 tháng 01 năm 2017; đã được sửa đổi bổ sung tại Thông tư số 07/2018/TT-BGDĐT ngày 01 tháng 3 năm 2018 của Bộ trưởng Bộ Giáo dục và Đào tạo",02/2019/tt-bgdđt,2019-02-28,Thông tư,15/04/2019,,Công báo Chính phủ,27/03/2019,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Lê Hải An,Toàn quốc,Còn hiệu lực,2019
144400,"Ban hành Quy chế quản lý bằng tốt nghiệp trung học cơ sở, bằng tốt nghiệp trung học phổ thông, bằng tốt nghiệp trung cấp sư phạm, bằng tốt nghiệp cao đẳng sư phạm, văn bằng giáo dục đại học và chứng chỉ của hệ thống giáo dục quốc dân.",21/2019/TT-BGDĐT,2019-11-29,Thông tư,15/01/2020,,,15/12/2019,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Nguyễn Văn Phúc,Toàn quốc,Còn hiệu lực,2019
146835,"Quy định về khối lượng kiến thức tối thiểu, yêu cầu về năng lực mà người học đạt được sau khi tốt nghiệp trình độ trung cấp, trình độ cao đẳng nhóm ngành đào tạo giáo viên; quy trình xây dựng, thẩm định và ban hành chương trình đào tạo trình độ trung cấp và trình độ cao đẳng nhóm ngành đào tạo giáo viên",29/2018/TT-BGDĐT,2018-12-24,Thông tư,09/02/2019,,,08/01/2019,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Thứ trưởng,Lê Hải An,Toàn quốc,Còn hiệu lực,2018
147704,Ban hành Quy chế đào tạo trình độ đại học,08/2021/TT-BGDĐT,2021-03-18,Thông tư,03/05/2021,,,04/05/2021,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Hoàng Minh Sơn,Toàn quốc,Còn hiệu lực,2021
148535,"Quy định về chuẩn chương trình đào tạo; xây dựng, thẩm định và ban hành chương trình đào tạo các trình độ của giáo dục đại học",17/2021/TT-BGDĐT,2021-06-22,Thông tư,07/08/2021,,,07/07/2021,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Hoàng Minh Sơn,Toàn quốc,Còn hiệu lực,2021
148538,Ban hành Quy chế tuyển sinh và đào tạo trình độ tiến sĩ,18/2021/TT-BGDĐT,2021-06-28,Thông tư,15/08/2021,,,16/07/2021,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Thứ trưởng,Hoàng Minh Sơn,Toàn quốc,Còn hiệu lực,2021
142785,"Ban hành Chương trình giáo dục quốc phòng và an ninh trong trường trung cấp sư phạm, cao đẳng sư phạm và cơ sở giáo dục đại học",05/2020/TT-BGDĐT,2020-03-18,Thông tư,01/07/2020,,Công báo CP,03/04/2020,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Nguyễn Văn Phúc,Toàn quốc,Còn hiệu lực,2020
144894,"Về việc ban hành tiêu chuẩn bộ mẫu thiết bị dạy học tối thiểu môn học giáo dục quốc phòng cho các trường Trung học phổ thông, Trung học chuyên nghiệp, Đại học và Cao đẳng",10/2005/QĐ-BGDĐT,2005-04-01,Quyết định,23/04/2005,...,,08/04/2005,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2005
